n,part,label,ml_incipit,ml_page,dv_incipit,dv_phys_page,dv_kindle_page,audio_time,audio_track,audio_method
1,Combray,Combray · 1,For a long time I would go,27,"FOR A LONG TIME, I went to",3,29,0:03:47,1,matched(88)
2,Combray,Combray · 2,Then the memory of a new position,31,Then the memory of a new position,7,33,0:15:49,1,estimate(miss 67)/loc
3,Combray,Combray · 3,"Riding at a jerky trot, Golo, filled",35,Moving at the jerky pace of his,9,36,0:23:57,1,matched(84)
4,Combray,Combray · 4,My sole consolation when I went upstairs,39,"My sole consolation, when I went upstairs",13,40,0:33:20,2,matched(100)
5,Combray,Combray · 5,As she was the only member of,44,Our ignorance of this brilliant social life,16,44,0:44:58,2,matched(100)
6,Combray,Combray · 6,"And yet one day, when my grandmother",47,Yet one day when my grandmother had,20,48,0:53:00,3,matched(100)
7,Combray,Combray · 7,“I don’t think that would please him,51,"They were more interested when, the day",22,51,1:00:34,3,matched(100)
8,Combray,Combray · 8,"“Yes,” aunt Céline went one better, “when",55,But the only one of us for,23,52,1:09:40,3,matched(91)
9,Combray,Combray · 9,A moment later she returned to say,60,I did not take my eyes off,27,56,1:20:38,4,matched(100)
10,Combray,Combray · 10,I was well aware that I had,64,"My mother did not come, and with",32,61,1:30:40,4,matched(100)
11,Combray,Combray · 11,Too late: my father was upon us.,67,I heard my parents’ footsteps as they,34,64,1:37:45,5,matched(100)
12,Combray,Combray · 12,"I was only too delighted, and Mamma",71,Mama spent that night in my room;,37,68,1:46:56,5,matched(94)
13,Combray,Combray · 13,My aching heart was soothed; I let,76,"My remorse was quieted, I gave in",43,74,1:57:31,6,matched(82)
14,Combray,Combray · 14,And I begin again to ask myself,79,"For many years, already, everything about Combray",45,76,2:07:01,6,matched(100)
15,Combray,Combray · 15,My grandfather’s cousin—by courtesy my great-aunt—with whom,84,My grandfather’s cousin—my great-aunt—in whose house we,50,82,2:16:16,7,matched(100)
16,Combray,Combray · 16,Scarcely had I been five minutes with,87,After a moment I would go in,52,84,2:26:18,7,matched(84)
17,Combray,Combray · 17,"“Not at all, Mme Octave, my time",91,She had guessed that Françoise did not,55,88,2:35:21,8,matched(79)
18,Combray,Combray · 18 — the Guermantes way,There were two tapestries of high warp,98,Two high-warp tapestries represented the coronation of,62,96,2:48:58,8,matched(86)
19,Combray,Combray · 19,The steeple of Saint-Hilaire could be distinguished,100,One could recognize the steeple of Saint-Hilaire,64,98,2:55:52,8,estimate(miss 67)/loc
20,Combray,Combray · 20 — Legrandin,On our way home from mass we,105,"As we returned home from Mass, we",68,103,3:08:36,9,matched(89)
21,Combray,Combray · 21,In all this Eulalie excelled. My aunt,109,This was where Eulalie excelled. My aunt,71,107,3:16:40,10,matched(98)
22,Combray,Combray · 22,"Once or twice a month, in Paris,",112,"Once or twice a month, in Paris,",74,110,3:23:56,10,matched(94)
23,Combray,Combray · 23,I could hear my uncle grumbling angrily;,117,"But if the actors preoccupied me so,",76,112,3:33:31,10,matched(84)
24,Combray,Combray · 24,"“Oh, I love artistic people,” replied the",120,"“Oh no, that’s not possible,” said my",81,117,3:42:12,11,matched(99)
25,Combray,Combray · 25,There must have been a strong element,125,And so I no longer went into,82,119,3:51:54,11,matched(100)
26,Combray,Combray · 26,"Next to, but distinctly less intimate a",128,"If my parents had allowed me, when",89,126,4:02:22,12,matched(98)
27,Combray,Combray · 27,The Rue Sainte-Hildegarde turned too sharply for,132,The rue Sainte-Hildegarde turned too sharply for,91,129,4:11:50,12,matched(87)
28,Combray,Combray · 28,Next Bloch had displeased my grandmother because,137,"Unfortunately, I was unable to talk to",93,131,4:20:46,13,matched(88)
29,Combray,Combray · 29,From his books I had formed an,142,"From his books, I imagined Bergotte to",99,138,4:34:36,13,matched(98)
30,Combray,Combray · 30,“Are there any books in which Bergotte,145,“Are there any books by Bergotte in,101,140,4:41:24,13,matched(98)
31,Combray,Combray · 31,“Mme Amédée is always the exact opposite,149,"“Oh dear,” said my aunt, striking her",103,143,4:49:54,14,matched(85)
32,Combray,Combray · 32,“But what is unquestionably the most remarkable,153,“But what is unquestionably the most extraordinary,108,148,4:59:48,14,matched(100)
33,Combray,Combray · 33,"But Françoise would return alone, having failed",158,“I think she has nothing to complain,109,149,5:09:47,15,matched(88)
34,Combray,Combray · 34 — Vinteuil,M. Vinteuil had come in with his,162,Since there we would sometimes meet M.,114,155,5:21:50,16,matched(90)
35,Combray,Combray · 35,"Although Saturday, by beginning an hour earlier",166,"If Saturday, which began an hour earlier",118,159,5:30:27,16,matched(100)
36,Combray,Combray · 36,"One Sunday, when my aunt had received",170,"If Saturday, which began an hour earlier",118,159,5:41:30,17,matched(100)
37,Combray,Combray · 37,But the day on which I went,173,"But the day on which, while my",124,166,5:49:18,17,matched(70)
38,Combray,Combray · 38,Only the day before he had asked,179,He had in fact asked my parents,128,171,6:03:02,18,matched(100)
39,Combray,Combray · 39,"“No,” he went on, explaining by his",182,"But at the name of Guermantes, I",129,172,6:09:30,18,matched(85)
40,Combray,Combray · 40,"In a final and desperate effort, Legrandin’s",186,"“There as everywhere, I know everyone and",134,178,6:20:12,18,matched(78)
41,Combray,Combray · 41,When we had decided to go the,192,When we wanted to go in the,137,182,6:31:53,19,matched(87)
42,Combray,Combray · 42 — the hawthorns,But it was in vain that I,195,But though I remained there in front,140,185,6:41:13,19,matched(88)
43,Combray,Combray · 43,"I gazed at her, at first with",199,"I looked at her, at first with",143,188,6:50:25,20,matched(100)
44,Combray,Combray · 44,That year my family fixed the day,203,"That year, when my parents had decided",147,193,7:03:06,21,matched(95)
45,Combray,Combray · 45 — Vinteuil's sonata,"Anyone who, like ourselves, had seen M.",207,For those like us who saw M.,150,197,7:12:28,21,matched(85)
46,Combray,Combray · 46,"Often, too, we would hurry to take",211,"Often, too, we would go and take",153,200,7:21:47,21,estimate(miss 66)/loc
47,Combray,Combray · 47,"And if Françoise then, inspired like a",215,"If Françoise then, filled like a poet",157,204,7:32:37,22,matched(92)
48,Combray,Combray · 48,"Alas, it was in vain that I",220,"Alas, it was in vain that I",161,209,7:44:37,22,matched(90)
49,Combray,Combray · 49,At the far end of Mlle Vinteuil’s,223,At the back of Mlle. Vinteuil’s drawing,164,212,7:52:06,23,matched(89)
50,Combray,Combray · 50,"If the Méséglise way was fairly easy,",229,If it was fairly simple to go,169,217,8:07:04,24,matched(83)
51,Combray,Combray · 51,I enjoyed watching the glass jars which,233,I liked to look at the carafes,172,221,8:15:49,24,matched(79)
52,Combray,Combray · 52,We would sit down among the irises,235,Never in our walk along the Guermantes,175,225,8:22:02,24,matched(100)
53,Combray,Combray · 53,One day my mother said to me:,240,One day my mother said to me:,178,228,8:33:40,25,matched(84)
54,Combray,Combray · 54 — the steeples of Martinville,"How often, after that day, in the",245,"How much more distressing still, after that",182,233,8:46:35,25,matched(100)
55,Combray,Combray · 55,In noticing and registering the shape of,247,"As I observed, as I noted the",185,235,8:52:22,26,matched(75)
56,Combray,Combray · 56,So the Méséglise way and the Guermantes,251,And so the Méséglise way and the,188,240,9:02:32,26,matched(95)
57,Combray,Combray · 57,"It is true that, when morning drew",255,Thus I would often lie until morning,191,243,9:12:17,26,matched(100)
58,Swann in Love,Swann · 1,"“My dear, Mme de Crécy has something",260,"“My dear, Mme. de Crécy has something",196,248,9:22:18,27,matched(97)
59,Swann in Love,Swann · 2,"Occasionally a couple of my grandparents’ acquaintance,",264,And it was not only the brilliant,199,251,9:31:50,27,matched(99)
60,Swann in Love,Swann · 3 — Odette,Odette de Crécy came again to see,267,Odette de Crécy came to see Swann,202,255,9:39:34,28,matched(99)
61,Swann in Love,Swann · 4,"On all those points, however, where a",272,Dr. Cottard was never quite certain of,205,259,9:48:56,28,matched(98)
62,Swann in Love,Swann · 5,“She’s such an excellent woman!” he rejoined.,277,By telling the Verdurins that Swann was,208,261,9:59:52,29,matched(98)
63,Swann in Love,Swann · 6 — the Verdurins,Odette had gone to sit on a,281,“You’re not very comfortable there: now go,213,267,10:08:32,29,matched(94)
64,Swann in Love,Swann · 7,"But that night, at Mme Verdurin’s, scarcely",286,"Now, scarcely a few minutes after the",217,272,10:20:55,30,matched(75)
65,Swann in Love,Swann · 8,Swann discovered no more than that the,288,The painter knew that Vinteuil was very,220,275,10:27:15,30,matched(81)
66,Swann in Love,Swann · 9,"“This will let you in, and anyone",294,"As for M. Verdurin, he noticed the",223,279,10:36:43,30,matched(100)
67,Swann in Love,Swann · 10,"More important, perhaps, was a second visit",300,A second visit he made to her,228,285,10:52:19,31,matched(100)
68,Swann in Love,Swann · 11,He stood gazing at her; traces of,301,He looked at her; a fragment of,230,286,10:57:29,31,matched(100)
69,Swann in Love,Swann · 12,“The face he pulled?” exploded Dr Cottard,306,"“She would have told me,” retorted Mme.",233,290,11:06:31,32,matched(99)
70,Swann in Love,Swann · 13,"The coachman came back, however, with the",310,Lights were beginning to go out all,237,294,11:15:38,32,matched(100)
71,Swann in Love,Swann · 14 — cattleyas,But he was so shy in approaching,315,But he was so timid with her,240,298,11:25:55,33,matched(100)
72,Swann in Love,Swann · 15,He went to her only in the,321,He went to her house only in,246,305,11:43:21,34,matched(100)
73,Swann in Love,Swann · 16,"On certain days, however, though these were",322,"On certain days, however, though they were",247,306,11:45:21,34,matched(90)
74,Swann in Love,Swann · 17,And if Swann asked her what she,326,"“Why, smart places! My goodness! If at",250,310,11:55:33,34,matched(83)
75,Swann in Love,Swann · 18,Like everything else that formed part of,331,Like everything else that was part of,255,315,12:09:05,35,matched(100)
76,Swann in Love,Swann · 19,He might have reminded himself that there,334,"And so there was probably not, in",257,318,12:15:47,35,matched(82)
77,Swann in Love,Swann · 20,“What! Do you mean to say you,338,“What? You haven’t heard of the famous,260,321,12:25:23,35,matched(92)
78,Swann in Love,Swann · 21 — Forcheville,“Who is that lady? She seems devilish,342,And delighted and abashed by the appropriateness,263,325,12:34:49,36,matched(97)
79,Swann in Love,Swann · 22,"To which Swann answered: “Why, I’m not",347,"“As you see it,” Forcheville went on,",268,330,12:45:06,36,matched(99)
80,Swann in Love,Swann · 23,“What a delightful man your husband is;,351,"“How charming your husband is, he has",270,333,12:53:45,37,matched(74)
81,Swann in Love,Swann · 24,"Often she was plagued with money troubles,",355,"Often, she had money troubles and, hard-pressed",274,337,13:04:31,37,matched(72)
82,Swann in Love,Swann · 25 — the Bois de Boulogne,"After dinner, if he had an early",360,"After dinner, if the appointed meeting time",278,341,13:13:57,38,matched(100)
83,Swann in Love,Swann · 26,Certainly he suffered as he watched that,363,She asked him to put out the,280,343,13:21:48,38,matched(94)
84,Swann in Love,Swann · 27,"But then at once his jealousy, as",368,This torture became still crueler when Swann,284,348,13:31:43,39,matched(87)
85,Swann in Love,Swann · 28,When he proposed to take leave of,372,When he tried to say good-bye to,288,352,13:43:13,40,matched(94)
86,Swann in Love,Swann · 29,After that he read the whole letter.,376,Then he read the whole letter; at,291,356,13:51:07,40,matched(98)
87,Swann in Love,Swann · 30,He pictured to himself with disgust the,380,He pictured to himself with disgust the,294,360,14:00:54,40,matched(75)
88,Swann in Love,Swann · 31,"“I swear to you,” he told her,",385,"“I swear,” he said to her a",298,365,14:12:30,41,matched(100)
89,Swann in Love,Swann · 32,But when she had set off for,388,But when she had left for Dreux,301,368,14:20:03,41,matched(96)
90,Swann in Love,Swann · 33,"Sometimes, when she had been away on",392,The fact was that she had not,304,371,14:30:35,41,matched(100)
91,Swann in Love,Swann · 34,And yet he was inclined to suspect,396,Yet he actually suspected that what he,309,376,14:40:32,42,matched(100)
92,Swann in Love,Swann · 35,"And thinking of this other Odette, he",400,"Then, thinking of this Odette, he would",312,380,14:48:43,42,matched(91)
93,Swann in Love,Swann · 36,But at other times—when Odette was on,404,But there were other occasions—Odette was about,316,384,14:58:46,43,matched(100)
94,Swann in Love,Swann · 37,By this love Swann had been so,409,By this love Swann had been so,319,388,15:07:47,43,matched(99)
