n,part,section,page,label,ml_incipit,audio_time,audio_track,audio_method
1,Part I,Madame Swann at Home,1,Pt I · p.1 — Madame Swann at Home (M. de Norpois),Now this attitude on my father's part,0:01:06,1,para/matched(93)
2,Part I,Madame Swann at Home,6,Pt I · p.6 — Madame Swann at Home,"But who, the reader has been asking,",0:10:14,1,para/matched(100)
3,Part I,Madame Swann at Home,11,Pt I · p.11 — Madame Swann at Home,"His promptness in answering a letter, which",0:20:41,1,para/matched(100)
4,Part I,Madame Swann at Home,17,Pt I · p.17 — Madame Swann at Home (La Berma),They seemed to me to invest with,0:32:51,1,para/matched(89)
5,Part I,Madame Swann at Home,22,Pt I · p.22 — Madame Swann at Home,Francois expended on these comings and goings,0:43:08,1,para/matched(100)
6,Part I,Madame Swann at Home,27,Pt I · p.27 — Madame Swann at Home,In vain might I strain towards Berma's,0:53:04,1,para/matched(100)
7,Part I,Madame Swann at Home,31,Pt I · p.31 — Madame Swann at Home,"Since they attracted me towards literature, he",1:03:02,1,para/matched(96)
8,Part I,Madame Swann at Home,37,Pt I · p.37 — Madame Swann at Home,But the absolute control over his facial,1:13:27,1,para/matched(94)
9,Part I,Madame Swann at Home,41,Pt I · p.41 — Madame Swann at Home,When Monsieur de Nompois made use of,1:24:04,2,para/matched(97)
10,Part I,Madame Swann at Home,47,Pt I · p.47 — Madame Swann at Home,Several persons who had the honor to,1:36:13,2,para/matched(96)
11,Part I,Madame Swann at Home,52,Pt I · p.52 — Madame Swann at Home (the Swanns),"Possibly, Svan felt that there would be",1:46:26,2,para/matched(95)
12,Part I,Madame Swann at Home,58,Pt I · p.58 — Madame Swann at Home (Odette),"Now, fully as much as retirement, ill",1:57:43,2,para/matched(100)
13,Part I,Madame Swann at Home,63,Pt I · p.63 — Madame Swann at Home (Bergotte),I do not share your son's point,2:07:58,2,para/matched(98)
14,Part I,Madame Swann at Home,67,Pt I · p.67 — Madame Swann at Home,"I prefer Mademoiselle Swann's face, but I",2:19:16,2,para/matched(100)
15,Part I,Madame Swann at Home,73,Pt I · p.73 — Madame Swann at Home (Gilberte),"After Monsieur de Nompois had gone, my",2:29:54,2,para/matched(98)
16,Part I,Madame Swann at Home,77,Pt I · p.77 — Madame Swann at Home,What was it that he said again?,2:40:08,3,para/matched(87)
17,Part I,Madame Swann at Home,82,Pt I · p.82 — Madame Swann at Home,The innumerable admiration which that artist excited,2:50:24,3,para/matched(100)
18,Part I,Madame Swann at Home,89,Pt I · p.89 — Madame Swann at Home,All that I felt about him I,3:03:47,3,para/matched(100)
19,Part I,Madame Swann at Home,93,Pt I · p.93 — Madame Swann at Home,"For some time past, in certain households,",3:14:32,3,para/matched(95)
20,Part I,Madame Swann at Home,98,Pt I · p.98 — Madame Swann at Home,"I could see in Cottile's eyes, as",3:25:08,3,para/matched(95)
21,Part I,Madame Swann at Home,103,Pt I · p.103 — Madame Swann at Home (Bloch),Now the same mystery which often veils,3:35:51,3,para/matched(99)
22,Part I,Madame Swann at Home,108,Pt I · p.108 — Madame Swann at Home,My regard for the truth was so,3:45:58,3,para/matched(100)
23,Part I,Madame Swann at Home,114,Pt I · p.114 — Madame Swann at Home,But soon I was to penetrate also,3:56:16,3,para/matched(100)
24,Part I,Madame Swann at Home,119,Pt I · p.119 — Madame Swann at Home (Albertine),He's the uncle of a little girl,4:06:43,4,para/matched(90)
25,Part I,Madame Swann at Home,123,Pt I · p.123 — Madame Swann at Home,"Mama, on the other hand, understood quite",4:16:18,4,para/matched(100)
26,Part I,Madame Swann at Home,129,Pt I · p.129 — Madame Swann at Home,"Were anyone to say, The prince, in",4:27:11,4,para/matched(100)
27,Part I,Madame Swann at Home,134,Pt I · p.134 — Madame Swann at Home,For these the Bontons and Cotards had,4:37:39,4,para/matched(97)
28,Part I,Madame Swann at Home,139,Pt I · p.139 — Madame Swann at Home,"At half past twelve, I would finally",4:49:40,4,para/matched(100)
29,Part I,Madame Swann at Home,145,Pt I · p.145 — Madame Swann at Home,"Thus it was that I was mistaken,",5:00:24,4,para/matched(94)
30,Part I,Madame Swann at Home,150,Pt I · p.150 — Madame Swann at Home,"But Odette had been merely his companion,",5:11:30,4,para/matched(100)
31,Part I,Madame Swann at Home,154,Pt I · p.154 — Madame Swann at Home,But her parents were not content with,5:21:41,5,para/matched(96)
32,Part I,Madame Swann at Home,160,Pt I · p.160 — Madame Swann at Home,"In the Jardin de Camattation, how proud",5:33:07,5,para/matched(99)
33,Part I,Madame Swann at Home,165,Pt I · p.165 — Madame Swann at Home,You should go and write your name,5:43:08,5,para/matched(99)
34,Part I,Madame Swann at Home,169,Pt I · p.169 — Madame Swann at Home,For what had just vanished in the,5:52:26,5,para/matched(98)
35,Part I,Madame Swann at Home,174,Pt I · p.174 — Madame Swann at Home,Though it must be added He continued,6:03:17,5,para/matched(98)
36,Part I,Madame Swann at Home,181,Pt I · p.181 — Madame Swann at Home,"Similarly, the men who produce works of",6:16:00,5,para/matched(100)
37,Part I,Madame Swann at Home,185,Pt I · p.185 — Madame Swann at Home,Just as in pathology certain conditions similar,6:26:41,5,para/matched(100)
38,Part I,Madame Swann at Home,191,Pt I · p.191 — Madame Swann at Home,"And so, when Bregot had to express",6:37:51,5,para/matched(96)
39,Part I,Madame Swann at Home,195,Pt I · p.195 — Madame Swann at Home,"For in her, a purely physical survival",6:47:39,6,para/matched(100)
40,Part I,Madame Swann at Home,201,Pt I · p.201 — Madame Swann at Home,"Just as priests, having the widest experience",6:58:27,6,para/matched(100)
41,Part I,Madame Swann at Home,205,Pt I · p.205 — Madame Swann at Home,It is what I should have said,7:08:32,6,para/matched(98)
42,Part I,Madame Swann at Home,211,Pt I · p.211 — Madame Swann at Home,It was about this period that Bloch,7:18:34,6,para/matched(100)
43,Part I,Madame Swann at Home,216,Pt I · p.216 — Madame Swann at Home,But now that their door stood open,7:28:46,6,para/matched(100)
44,Part I,Madame Swann at Home,222,Pt I · p.222 — Madame Swann at Home,She confined herself to exchanging with me,7:42:00,6,para/matched(96)
45,Part I,Madame Swann at Home,227,Pt I · p.227 — Madame Swann at Home,"Or worse still, we are like a",7:52:16,6,para/matched(100)
46,Part I,Madame Swann at Home,231,Pt I · p.231 — Madame Swann at Home,"And then again later on, when I",8:03:08,7,para/matched(99)
47,Part I,Madame Swann at Home,236,Pt I · p.236 — Madame Swann at Home,Madame Swann attached great importance to her,8:13:25,7,para/matched(98)
48,Part I,Madame Swann at Home,241,Pt I · p.241 — Madame Swann at Home,I should never have suspected it was,8:23:51,7,para/matched(100)
49,Part I,Madame Swann at Home,247,Pt I · p.247 — Madame Swann at Home,"Alone, too, he was presented to her",8:35:39,7,para/matched(94)
50,Part I,Madame Swann at Home,252,Pt I · p.252 — Madame Swann at Home,"She relied upon Madame Cotard, whom she",8:45:23,8,para/matched(100)
51,Part I,Madame Swann at Home,257,Pt I · p.257 — Madame Swann at Home,I confess that I've made the most,8:55:56,8,para/matched(97)
